Interval=	0.00025 s
ExcelDateTime=	4.4825404700274565e+004	2022-09-21 9:42:46.103723
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG
Range=	10.000 mV	42.46 V
0.1005	0.0490625	5.820742
0.10075	0.0475	5.822461
0.101	0.0484375	5.824222
0.10125	0.0490625	5.826023
0.1015	0.0459375	5.827859
0.10175	0.04875	5.829746
0.102	0.045625	5.831643
0.10225	0.0446875	5.83355
0.1025	0.0496875	5.835451
0.10275	0.048125	5.837301
0.103	0.048125	5.839103
0.10325	0.049375	5.840856
0.1035	0.05	5.842564
0.10375	0.049375	5.844228
0.104	0.0509375	5.845854
0.10425	0.0503125	5.847447
0.1045	0.0509375	5.849012
0.10475	0.0496875	5.850553
0.105	0.0534375	5.852085
0.10525	0.051875	5.853586
0.1055	0.0521875	5.855085
0.10575	0.055	5.856591
0.106	0.054375	5.858095
0.10625	0.05625	5.859608
0.1065	0.0584375	5.861124
0.10675	0.0571875	5.862638
0.107	0.05875	5.864166
0.10725	0.058125	5.865699
0.1075	0.059375	5.867253
0.10775	0.0640625	5.868825
0.108	0.0678125	5.870405
0.10825	0.0746875	5.871981
0.1085	0.0765625	5.873508
0.10875	0.07625	5.874987
0.109	0.0703125	5.876417
0.10925	0.0584375	5.877823
0.1095	0.0540625	5.879284
0.10975	0.0453125	5.880805
0.11	0.0434375	5.882423
0.11025	0.0534375	5.884144
0.1105	0.0546875	5.885929
0.11075	0.0525	5.887766
0.111	0.04125	5.889669
0.11125	0.0259375	5.891678
0.1115	0.0171875	5.893833
0.11175	0.01375	5.896145
0.112	0.0171875	5.898617
0.11225	0.0225	5.901246
0.1125	0.0303125	5.904024
0.11275	0.0515625	5.906933
0.113	0.0690625	5.909879
0.11325	0.0815625	5.912775
0.1135	0.0834375	5.915538
0.11375	0.0703125	5.918136
0.114	0.0553125	5.920664
0.11425	0.039375	5.923193
0.1145	0.019375	5.925778
0.11475	0.00875	5.928468
0.115	-0.0025	5.931261
0.11525	-0.0090625	5.934148
0.1155	-0.005625	5.937126
0.11575	-0.0003125	5.940186
0.116	0.005625	5.943327
0.11625	0.014375	5.946542
0.1165	0.0284375	5.949823
0.11675	0.0465625	5.953137
0.117	0.05875	5.956426
0.11725	0.07375	5.959643
0.1175	0.0825	5.962699
0.11775	0.0865625	5.965528
0.118	0.08125	5.968109
0.11825	0.07125	5.970491
0.1185	0.0653125	5.97275
0.11875	0.0640625	5.974934
0.119	0.0659375	5.977044
0.11925	0.07	5.979067
0.1195	0.0759375	5.980986
0.11975	0.0796875	5.982762
0.12	0.08375	5.984376
0.12025	0.0834375	5.985801
0.1205	0.0853125	5.987044
0.12075	0.085625	5.98809
0.121	0.084375	5.988944
0.12125	0.085	5.98963
0.1215	0.081875	5.990138
0.12175	0.0790625	5.990501
0.122	0.0796875	5.990751
0.12225	0.0778125	5.990887
0.1225	0.0821875	5.990924
0.12275	0.0828125	5.990827
0.123	0.0784375	5.990576
0.12325	0.071875	5.990186
0.1235	0.0634375	5.989683
0.12375	0.0584375	5.989117
0.124	0.0528125	5.988524
0.12425	0.0515625	5.987944
0.1245	0.055	5.987393
0.12475	0.055625	5.98685
0.125	0.0646875	5.986313
0.12525	0.07125	5.985728
0.1255	0.0725	5.985047
0.12575	0.0803125	5.984269
0.126	0.0884375	5.983354
0.12625	0.0915625	5.982264
0.1265	0.0925	5.981012
0.12675	0.09125	5.979616
0.127	0.090625	5.978102
0.12725	0.0909375	5.976463
0.1275	0.0921875	5.974689
0.12775	0.09375	5.972762
0.128	0.091875	5.970655
0.12825	0.0934375	5.968392
0.1285	0.0859375	5.965944
0.12875	0.07125	5.963347
0.129	0.058125	5.960683
0.12925	0.0440625	5.958012
0.1295	0.033125	5.955376
0.12975	0.0240625	5.952792
0.13	0.0178125	5.950275
0.13025	0.0125	5.947835
0.1305	0.008125	5.945486
0.13075	0.00625	5.943246
0.131	0.0075	5.941131
0.13125	0.010625	5.939135
0.1315	0.020625	5.937269
0.13175	0.031875	5.935521
0.132	0.043125	5.933873
0.13225	0.0559375	5.932302
0.1325	0.065625	5.930757
0.13275	0.0709375	5.929188
0.133	0.070625	5.927552
0.13325	0.0653125	5.925825
0.1335	0.0628125	5.924039
0.13375	0.0625	5.922189
0.134	0.0659375	5.920274
0.13425	0.06875	5.918277
0.1345	0.0671875	5.916174
0.13475	0.065625	5.913981
0.135	0.06	5.911702
0.13525	0.0534375	5.909354
0.1355	0.053125	5.90696
0.13575	0.05	5.904503
0.136	0.0509375	5.901987
0.13625	0.0515625	5.899407
0.1365	0.048125	5.896759
0.13675	0.0496875	5.89406
0.137	0.050625	5.891309
0.13725	0.04875	5.8885
0.1375	0.0521875	5.885637
0.13775	0.050625	5.882711
0.138	0.0503125	5.879744
0.13825	0.0515625	5.876743
0.1385	0.0525	5.873715
0.13875	0.051875	5.870653
0.139	0.054375	5.86755
0.13925	0.05625	5.864396
0.1395	0.0575	5.861183
0.13975	0.0584375	5.857905
0.14	0.063125	5.85457
0.14025	0.06	5.851164
0.1405	0.06125	5.847719
0.14075	0.064375	5.844271
0.141	0.0628125	5.840825
0.14125	0.06375	5.837437
0.1415	0.065	5.834136
0.14175	0.064375	5.830943
0.142	0.068125	5.827893
0.14225	0.0671875	5.824983
0.1425	0.0678125	5.822239
0.14275	0.0678125	5.819672
0.143	0.0684375	5.817259
0.14325	0.0696875	5.814993
0.1435	0.0696875	5.812834
0.14375	0.0678125	5.810783
0.144	0.0709375	5.808842
0.14425	0.0675	5.80698
0.1445	0.06875	5.805229
0.14475	0.0684375	5.80357
0.145	0.06375	5.801975
0.14525	0.0653125	5.800464
0.1455	0.0640625	5.799011
0.14575	0.06125	5.797622
0.146	0.0615625	5.796309
0.14625	0.0575	5.795043
0.1465	0.059375	5.793804
0.14675	0.0565625	5.792545
0.147	0.0578125	5.791257
0.14725	0.0565625	5.789915
0.1475	0.0525	5.788516
0.14775	0.053125	5.78708
0.148	0.0515625	5.785597
0.14825	0.049375	5.784079
0.1485	0.05125	5.782552
0.14875	0.048125	5.781015
0.149	0.0471875	5.779498
0.14925	0.0465625	5.778022
0.1495	0.0465625	5.776593
0.14975	0.0434375	5.775215
0.15	0.040625	5.773906
0.15025	0.0409375	5.772671
0.1505	0.040625	5.771512
0.15075	0.038125	5.770415
0.151	0.0396875	5.769382
0.15125	0.03875	5.768404
0.1515	0.036875	5.76749
0.15175	0.0384375	5.766651
0.152	0.0365625	5.765873
0.15225	0.0378125	5.765178
0.1525	0.038125	5.76456
0.15275	0.0359375	5.76402
0.153	0.0375	5.76359
0.15325	0.0390625	5.763262
0.1535	0.0390625	5.76304
0.15375	0.04	5.762926
0.154	0.0403125	5.762899
0.15425	0.043125	5.762927
0.1545	0.0446875	5.76298
0.15475	0.0421875	5.763028
0.155	0.044375	5.763069
0.15525	0.0421875	5.763086
0.1555	0.0446875	5.763096
0.15575	0.04625	5.763089
0.156	0.0471875	5.763066
0.15625	0.05	5.763043
0.1565	0.0528125	5.76302
0.15675	0.0534375	5.762991
0.157	0.0571875	5.76298
0.15725	0.059375	5.762961
0.1575	0.063125	5.762944
0.15775	0.065	5.762912
0.158	0.0684375	5.76285
0.15825	0.070625	5.762771
0.1585	0.07	5.762676
0.15875	0.0728125	5.762588
0.159	0.0715625	5.762505
0.15925	0.069375	5.762435
0.1595	0.0703125	5.762381
0.15975	0.066875	5.762303
0.16	0.06625	5.76221
0.16025	0.0671875	5.762093
0.1605	0.0665625	5.76193
0.16075	0.0665625	5.761748
0.161	0.06625	5.761539
0.16125	0.0653125	5.761296
0.1615	0.065625	5.761002
